fbln1YearWebPayment,fblnAddressChange3Months,fblnAllAccountsCeased,fblnAllAccountsOpen,fblnAllTimeAuditCount,fblnAutomatedLetterSent,fblnDeactivatedCredit1Year,fblnInState,fblnNameChange3Months,fblnNonfiler,fblnPhoneChange3Months,fcurAuditPostings,fcurBalance,fcurMaxWebPayment1Year,fcurMinWebPayment1Year,flngAccountCount,flngAccountsWithBalanceCount,flngCeasedAccountCount,flngDaysOpen,flngDaysSinceLastCollection,flngOpenAccountCount,flngOpenPeriodCount,flngPriorCollectionsCount,fstrCollectDistrict,fstrCustomerType,fstrTaxType,fblnTargetSelfCured
0,0,0,1,0,0,0,1,0,0,0,0,70.68,0,0,4,3,0,2,48,4,0,1,District 16,COR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,200.28,0,0,4,4,0,2,1707,4,0,1,District 16,SCO,Corporate Income,1
1,0,0,0,3,0,0,0,0,0,1,41715.47,6415.15,3193.58,137.59,4,2,1,2,760,3,0,1,District 1,COR,Corporate Income,0
1,1,0,0,0,0,0,0,0,0,0,0,5165.06,85.81,85.81,4,2,2,2,119,2,0,1,District 1,COR,Corporate Income,1
1,0,0,1,0,0,0,1,0,0,0,0,112.43,586.27,117.83,5,2,0,2,510,5,0,1,District 16,COR,Corporate Income,0
0,0,0,0,0,0,0,0,0,0,0,0,209481.09,0,0,5,2,1,2,216,4,0,1,District 1,COR,Corporate Income,0
0,0,0,0,1,0,0,0,0,0,0,1322,12179.41,0,0,5,4,1,2,284,4,0,1,District 1,COR,Corporate Income,0
1,1,0,0,0,0,0,1,0,0,1,0,23358.93,947.02,624.39,6,2,1,2,-1,5,0,0,District 16,PAR,Corporate Income,0
0,0,0,0,0,0,0,1,0,0,0,0,587.02,0,0,6,5,1,2,108,5,0,1,District 2,SCO,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,128.92,0,0,2,2,0,2,71,2,0,1,District 1,IND,Sales,1
0,0,0,1,1,0,0,0,0,0,0,599373,20498.9,0,0,3,2,0,2,139,3,0,1,District 1,COR,Sales,0
1,0,0,1,0,0,0,1,0,0,0,0,1397.72,1136.93,1136.93,4,4,0,2,100,4,0,1,District 2,PAR,Sales,1
0,0,0,1,1,0,0,0,0,0,0,213884,14097.18,0,0,4,3,0,2,157,4,0,1,District 0,COR,Sales,0
0,0,0,1,0,0,0,1,0,0,0,0,7568.6,0,0,4,3,0,2,46,4,0,1,District 0,COR,Sales,1
0,0,0,0,0,0,0,1,0,0,0,0,5832.5,0,0,4,2,3,2,108,1,0,1,District 7,COR,Sales,0
0,0,1,0,0,0,0,1,0,0,1,0,43.27,0,0,4,1,4,2,-1,0,0,0,District 16,COR,Sales,1
0,0,0,0,1,0,0,0,0,0,0,20564,6718.86,0,0,5,3,1,2,-1,4,0,0,District 0,SCO,Sales,0
1,0,0,0,0,0,0,1,1,0,0,0,1400.13,1090,46.02,6,2,5,2,139,1,0,1,District 1,COR,Sales,0
1,0,0,1,0,0,0,0,1,0,0,0,130.52,500,500,7,5,0,2,80,7,0,1,District 1,PAR,Sales,1
0,1,0,0,0,0,0,1,0,0,0,0,3630.09,0,0,7,6,6,2,1060,1,0,1,District 8,COR,Sales,0
1,1,0,1,0,0,0,1,0,0,1,0,10913.29,10809.29,51.95,3,3,0,2,65,3,0,1,District 13,COR,Withholding,0
0,0,0,0,0,0,0,1,0,0,0,0,93850,0,0,3,2,1,2,-1,2,0,0,District 2,SCO,Withholding,0
1,0,0,1,2,0,0,0,0,0,0,0,1137.06,538357.15,380.33,4,3,0,2,393,4,0,1,District 1,COR,Withholding,0
0,0,0,1,0,0,0,0,0,0,0,0,5218.15,0,0,4,4,0,2,599,4,0,1,District 1,PAR,Withholding,0
0,1,1,0,0,0,0,1,0,0,0,0,6101.36,0,0,5,1,5,2,88,0,0,1,District 8,SCO,Withholding,0
0,0,1,0,0,0,0,1,0,1,0,0,9795.11,0,0,2,1,2,2,4,0,1,1,District 13,COR,Withholding,0
1,0,0,1,1,0,0,0,0,0,0,46742.2,5937.16,60000,60000,1,1,0,3,-1,1,0,0,District 1,COR,Corporate Income,0
0,0,0,1,1,0,0,1,0,0,0,0,93.2,0,0,1,1,0,3,-1,1,0,0,District 1,PAR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,40701.34,0,0,1,1,0,3,-1,1,0,0,District 13,SCO,Corporate Income,0
0,0,0,1,0,0,0,1,1,0,0,0,124.97,0,0,1,1,0,3,-1,1,0,0,District 2,TRS,Corporate Income,1
0,0,0,1,0,0,0,1,1,0,0,0,184.28,0,0,1,1,0,3,-1,1,0,0,District 2,TRS,Corporate Income,1
0,0,0,1,0,0,0,0,0,0,0,0,5763.1,0,0,1,1,0,3,168,1,0,1,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,418.8,0,0,1,1,0,3,795,1,0,1,District 13,SCO,Corporate Income,1
1,0,0,1,4,0,0,1,0,0,0,646962.74,6677.6,600000,500000,1,1,0,3,150,1,0,1,District 13,COR,Corporate Income,0
0,0,0,1,1,0,0,0,0,0,0,0,19832.7,0,0,1,1,0,3,1294,1,0,1,District 1,COR,Corporate Income,0
0,0,1,0,0,0,0,1,0,0,0,0,308.29,0,0,1,1,1,3,-1,0,0,0,District 16,TRS,Corporate Income,1
0,0,0,1,1,0,0,0,0,0,0,0,14408.45,0,0,2,1,0,3,-1,2,0,0,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,562.73,0,0,2,1,0,3,-1,2,0,0,District 13,TRS,Corporate Income,1
0,0,0,1,0,0,0,0,0,0,0,0,12772.24,0,0,2,2,0,3,599,2,0,1,District 1,SCO,Corporate Income,0
0,0,0,0,0,0,0,1,0,0,0,0,934.2,0,0,2,2,1,3,1370,1,0,1,District 16,SCO,Corporate Income,1
0,0,1,0,2,0,0,0,0,0,0,78710.45,16573.59,0,0,2,1,2,3,-1,0,0,0,District 1,COR,Corporate Income,0
0,0,0,0,3,0,0,1,0,0,0,57402,253947.75,0,0,3,1,2,3,-1,1,0,0,District 13,COR,Corporate Income,0
0,0,0,0,4,0,1,0,0,0,0,744535.31,610.16,0,0,3,2,2,3,1738,1,0,1,District 0,SCO,Corporate Income,1
0,0,0,0,0,0,0,0,0,0,0,0,17363.19,0,0,3,1,2,3,27,1,0,1,District 1,COR,Corporate Income,0
0,0,0,0,0,0,0,1,0,0,0,0,7453.93,0,0,3,3,2,3,182,1,0,1,District 2,COR,Corporate Income,0
0,0,0,0,0,0,0,1,1,0,0,0,88991.99,0,0,3,3,2,3,1067,1,0,1,District 2,PAR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,7342.21,0,0,4,3,0,3,-1,4,0,0,District 2,COR,Corporate Income,0
1,0,0,1,1,0,0,1,0,0,0,461.04,68602.15,2834.01,1818.67,4,3,0,3,1166,4,0,1,District 13,SCO,Corporate Income,0
1,0,0,1,1,0,0,0,0,0,0,129685,27383.38,55000,113.81,4,3,0,3,46,4,0,1,District 1,COR,Corporate Income,0
0,1,0,0,0,0,0,0,0,0,0,0,46.2,0,0,4,2,1,3,-1,3,0,0,District 1,PAR,Corporate Income,1
0,0,0,1,0,0,0,0,0,0,0,0,203322.26,0,0,5,4,0,3,231,5,0,1,District 1,COR,Corporate Income,0
0,0,0,0,0,0,0,1,0,0,0,0,55.7,0,0,5,2,1,3,123,4,0,1,District 13,SCO,Corporate Income,1
0,1,0,0,1,0,0,0,0,0,0,134073,214611.6,0,0,5,3,3,3,537,2,0,1,District 1,COR,Corporate Income,0
0,0,1,0,0,0,0,0,0,1,0,0,18438.27,0,0,1,1,1,3,-1,0,1,0,District 1,COR,Corporate Income,0
0,0,0,0,0,0,0,0,0,0,1,0,15824.57,0,0,3,1,1,3,-1,2,0,0,District 1,PAR,Pass Through,0
1,0,0,1,0,0,0,1,0,0,0,0,7253.59,1912.59,358.06,4,2,0,3,-1,4,0,0,District 13,SCO,Pass Through,0
0,0,0,0,0,0,0,1,0,0,0,0,60.94,0,0,2,2,1,3,-1,1,0,0,District 2,IND,Sales,0
1,0,0,0,0,0,0,1,0,0,0,0,291.08,979.59,979.59,2,2,1,3,89,1,0,1,District 2,IND,Sales,1
0,0,0,1,3,0,0,0,0,0,0,457538.38,47.24,0,0,4,3,0,3,874,4,0,1,District 1,COR,Sales,1
0,0,0,0,0,0,0,0,0,0,0,0,12476.76,0,0,4,2,3,3,242,1,0,1,District 0,COR,Sales,0
0,0,1,0,0,0,0,1,0,0,0,0,50,0,0,4,4,4,3,9,0,0,1,District 2,SCO,Sales,1
0,0,0,1,0,0,0,1,0,0,0,0,27239.3,0,0,5,4,0,3,1737,5,0,1,District 7,SCO,Sales,0
0,0,0,1,0,0,0,1,0,0,0,0,57.71,0,0,5,4,0,3,996,5,0,1,District 8,COR,Sales,0
0,0,0,1,1,0,0,1,0,0,0,0,7249.7,0,0,5,4,0,3,104,5,0,1,District 16,COR,Sales,1
0,0,0,1,5,0,0,1,0,0,0,4302349.2,16436.5,0,0,5,5,0,3,160,5,0,1,District 1,COR,Sales,0
0,0,1,0,0,0,0,1,0,0,0,0,3657.12,0,0,5,1,5,3,-1,0,0,0,District 7,COR,Sales,0
0,0,1,0,0,0,0,1,0,0,0,0,1015.6,0,0,5,4,5,3,361,0,0,1,District 16,COR,Sales,0
1,0,0,0,0,0,1,1,0,0,0,0,1137.46,500,500,6,5,1,3,9,5,0,1,District 8,IND,Sales,0
1,0,0,0,1,0,0,1,0,0,0,3736.37,377.49,7356,90,8,5,1,3,664,7,0,1,District 16,COR,Sales,1
