flngCustomerKey,fblnAuditSuccesful,fstrFiling,fintPreviousAudits,flngSiteCount,fcurTotalReceipts,fcurUseTax,fcurWages,flngCollectCount,flngPaymentCount,fblnHasCigAcct,fblnHasLiqAcct,flngYearsOpen,fcurCorpIncome,fblnInState,fstrNAICS,fdblPercentFiledOnTime,flngOtherAcctCount,flngTotalCRMNotes,flngEmployeeCount,fstrFDSWebDomain,flngFDSEmployeeCount,fcurFDSPropertyStateValue,fstrFDSSalesVolume,flngFDSLocationCount,fstrFDSExpenses,fstrFDSCreditRating,fstrFDSRating,fstrFDSBusinessComplexity,fstrFDSBusinessCollectability,fblnFDSBusinessActive,flngFDSLienCount,flngFDSUCCFilingsCount,flngFDSBankruptcyCount,flngFDSCurrentVehicleCount,flngFDSAircraftCount,flngFDSPropertyStateCount,flngFDSAddressStateCount,fblnFDSSubsidiaries,fblnFDSFranchise,fdblFDSPcntAgriculture,fdblFDSPcntConstruction,fdblFDSPcntFinancial,fdblFDSPcntGovernment,fdblFDSPcntHealthCare,fdblFDSPcntInformation,fdblFDSPcntHospitality,fdblFDSPcntManufacturing,fdblFDSPcntOther,fdblFDSPcntProfessional,fdblFDSPcntRestaurant,fdblFDSPcntRetail,fdblFDSPcntTransportion,fdblFDSPcntWholesaleTrade,fstrFDSPrimaryBusiness
29882368,0,ST1AN,0,1,0,0,0,0,0,0,0,6,0,0,621999,0,4,15,20,COM,84,0,LOW,3,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,1,0,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
30171648,1,ST1MO,0,1,0,10000,1000000,0,18,0,0,2,0,0,325991,0.33,3,16,54,NONE,0,4913390,HIGH,2,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OTHER
30171648,1,ST1MO,1,1,100000,10000,5000000,0,43,0,0,5,0,0,325991,0.84,3,27,54,NONE,0,4913390,HIGH,2,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OTHER
30319616,0,ST1MO,1,1,50000,0,1000000,2,62,0,0,10,5000000,0,NULL,0.76,3,110,0,COM,41,16260650,MEDIUM,1,HIGH,LOW,UNKNOWN,LOW,HIGH,0,0,56,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0.3333,0,PROFESSIONAL
30319616,1,ST1MO,0,1,50000,0,1000000,1,43,0,0,8,1000000,0,NULL,0.57,3,62,0,COM,41,16260650,MEDIUM,1,HIGH,LOW,UNKNOWN,LOW,HIGH,0,0,56,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0.3333,0,PROFESSIONAL
30368256,0,ST1MO,0,1,500000,0,50000,0,15,0,0,10,100000,1,335999,0.18,3,1,5,COM,3,0,MEDIUM,1,MEDIUM,LOW,UNKNOWN,HIGH,HIGH,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0.4,MIX
30804992,0,ST1MO,0,1,100000,0,100000,1,59,0,0,20,10000,1,444220,0.68,3,29,7,COM,0,46920,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,RETAIL
30914560,0,ST1MO,1,1,1000000,10000,50000,0,12,0,0,5,25000000,0,NULL,0.03,1,8,0,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
30914560,1,ST1MO,0,1,0,0,0,0,0,0,0,4,0,0,NULL,0,1,7,0,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
31074304,0,ST1MO,0,1,100000,0,100000,0,8,0,0,7,50000,1,337110,0.68,3,2,3,COM,2,105177,HIGH,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,14,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MANUFACTURING
31125504,0,ST1MO,0,1,500000,0,500000,0,11,0,0,20,10000,1,423830,0.95,3,6,8,COM,12,0,MEDIUM,1,MEDIUM,MEDIUM,UNKNOWN,LOW,HIGH,1,0,6,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0.3333,0.3333,0,0,0,0.3333,MIX
31132672,0,ST1AN,0,1,500000,0,50000,0,0,0,0,20,0,0,NULL,1,0,12,0,COM,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MANUFACTURING
31267840,1,ST1MO,0,1,5000000,0,500000,0,26,0,0,2,100000000,0,423620,0.46,3,20,50,COM,2355,0,MEDIUM,5,HIGH,MEDIUM,UNKNOWN,LOW,HIGH,1,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.1667,0.6667,0,0,0,0.1667,PROFESSIONAL
31284224,0,ST1AN,0,1,10000,0,0,0,12,0,0,11,0,0,NULL,0.69,1,5,0,COM,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRADE
31341568,0,ST1AN,0,1,1000000,10000,100000,0,5,0,0,22,100000,1,321992,1,4,12,2,COM,381,56862,HIGH,1,HIGH,HIGH,UNKNOWN,LOW,HIGH,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MANUFACTURING
31361536,0,ST1MO,1,1,0,0,100000,0,28,0,0,7,0,0,425120,0,3,40,1,COM,150,0,LOW,1,LOW,LOW,MEDIUM,LOW,HIGH,1,1,14,0,0,0,0,1,0,0,0,0,0,0,0.4,0,0,0.6,0,0,0,0,0,0,MANUFACTURING
31517696,1,ST1MO,0,1,500000,0,50000,0,0,0,0,38,50000,1,447110,0.57,4,0,0,OTHER,0,0,MEDIUM,1,MEDIUM,HIGH,HIGH,LOW,HIGH,1,1,5,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0.6667,0,0,0,0,0,OTHER
31517696,1,ST1MO,1,1,500000,0,50000,0,37,0,0,39,50000,1,447110,0.43,4,45,0,OTHER,0,0,MEDIUM,1,MEDIUM,HIGH,HIGH,LOW,HIGH,1,1,5,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0.6667,0,0,0,0,0,OTHER
31668736,0,ST1AN,0,1,50000,0,0,5,7,0,0,11,10000,1,561320,0,1,40,0,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OTHER
32127488,0,ST1MO,0,1,10000,0,0,0,12,0,1,1,0,1,NULL,1,2,21,0,COM,5,92742,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,2,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CONSTRUCTION
32475648,0,ST1QTR,0,1,10000,0,0,0,0,0,0,12,10000,1,NULL,0.55,0,0,0,NONE,0,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,LOW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
